Squat,Bench,Deadlift,Total,Gender,Private
418,308,462,1188,Male,Please publish my results
485,270,445,1200,Male,Please publish my results
330,235,465,1030,Male,Please publish my results
405,260,535,1200,Male,Please publish my results
562.275,380.3625,600.8625,1543.5,Male,Please publish my results
275,245,355,875,Male,Please publish my results
335,230,410,975,Male,Please publish my results
375,315,415,1105,Male,Please publish my results
315,240,355,910,Male,Please publish my results
400,185,175,760,Male,Please publish my results
465,425,565,1455,Male,Please publish my results
335,300,365,1000,Male,Please publish my results
395,270,385,1050,Male,Please publish my results
352.7,231.5,407.9,992.1,Male,Please publish my results
475,350,585,1410,Male,Please publish my results
475,335,515,1325,Male,Please publish my results
375,240,385,1000,Male,Please publish my results
0,0,405,405,Male,Please publish my results
255,185,315,755,Female,Please publish my results
0,235,350,585,Male,Please publish my results
145,95,195,435,Female,Please publish my results
315,175,365,855,Female,Please keep my results private
465,330,515,1310,Male,Please publish my results
297.675,203.9625,380.3625,882,Female,Please publish my results
185,95,225,505,Female,Please publish my results
185,130,225,540,Female,Please publish my results
205,240,360,805,Male,Please publish my results
445,245,515,1205,Male,Please publish my results
435,305,455,1195,Male,Please publish my results
375,308,585,1268,Male,Please publish my results
100,215,160,475,Male,Please publish my results
485,320,525,1330,Male,Please publish my results
275,185,315,775,Male,Please publish my results
425,285,450,1160,Male,Please publish my results
365,412,385,1162,Male,Please publish my results
520,385,595,1500,Male,Please publish my results
205,135,275,615,Male,Please keep my results private
335,225,385,945,Male,Please publish my results
441,245,496,1182,Male,Please publish my results
562.275,336.2625,606.375,1504.9125,Male,Please publish my results
365,295,405,1065,Male,Please keep my results private
1069.425,595.35,1102.5,2767.275,Male,Please publish my results
463.05,281.1375,479.5875,1223.775,Male,Please publish my results
275,250,305,830,Male,Please keep my results private
500,410,500,1410,Male,Please publish my results
95,125,175,395,Male,Please keep my results private
415,265,455,1135,Male,Please publish my results
400,240,445,1085,Male,Please publish my results
0,0,245,245,Female,Please keep my results private
350,255,435,1040,Male,Please publish my results
500,335,505,1340,Male,Please publish my results
280,210,380,870,Male,Please publish my results
315,285,405,1005,Male,Please publish my results
225,225,225,675,Male,Please publish my results
205,125,265,595,Female,Please publish my results
500,455,545,1500,Male,Please publish my results
265,215,275,755,Male,Please publish my results
345,265,455,1065,Male,Please publish my results
225,275,235,735,Male,Please publish my results
463,298,575,1336,Male,Please publish my results
205,205,205,615,Male,Please publish my results
45,185,121,351,Male,Please publish my results
315,270,345,930,Male,Please publish my results
240,200,350,790,Male,Please publish my results
405,265,405,1075,Male,Please publish my results
275,205,335,815,Male,Please publish my results
320,0,295,615,Male,Please publish my results
385,235,405,1025,Male,Please publish my results
742,425,565,1732,Male,Please publish my results
241,225,405,871,Male,Please publish my results
405,315,405,1125,Male,Please publish my results
585,315,525,1425,Male,Please publish my results
385,315,405,1105,Male,Please publish my results
425,405,520,1350,Male,Please publish my results
265,160,360,785,Female,Please publish my results
350,160,350,860,Female,Please publish my results
405,325,615,1345,Male,Please publish my results
441,286.65,396.9,1124.55,Male,Please publish my results
530,345,605,1480,Male,Please publish my results
305,250,365,920,Male,Please publish my results
154,110,210,474,Female,Please keep my results private
330.75,203.9625,474.075,1008.7875,Male,Please publish my results
355,215,455,1025,Male,Please publish my results
340,225,440,1005,Male,Please publish my results
405,205,475,1085,Male,Please publish my results
430,337,505,1272,Male,Please publish my results
365,225,275,865,Male,Please publish my results
345,235,385,965,Male,Please publish my results
235,185,295,715,Male,Please publish my results
290,250,305,845,Male,Please publish my results
350,295,425,1070,Male,Please publish my results
480,285,505,1270,Male,Please publish my results
210,145,190,545,Male,Please publish my results
500,295,495,1290,Male,Please publish my results
308.7,176.4,352.8,837.9,Female,Please publish my results
188,125,188,501,Male,Please publish my results
135,72.5,132.5,340,Female,Please publish my results
535,300,565,1400,Male,Please publish my results
347.5,210,385,942.5,Male,Please publish my results
290,210,325,825,Male,Please publish my results
325,255,425,1005,Male,Please publish my results
450,395,600,1445,Male,Please publish my results
370,265,415,1050,Male,Please publish my results
370,290,430,1090,Male,Please publish my results
315,235,435,985,Male,Please publish my results
315,185,405,905,Male,Please publish my results
330,145,360,835,Male,Please publish my results
408,276,490,1174,Male,Please publish my results
