Squat,Bench,Deadlift,Total,Gender,Private
200,100,245,545,Female,
255,165,245,665,Female,
415,245,465,1125,Male,
475,300,555,1330,Male,
405,330,365,1100,Male,
272,175,365,812,Male,
500,300,515,1315,Male,
325,215,405,945,Male,
305,205,310,820,Male,
385,315,435,1135,Male,
485,365,550,1400,Male,
155,65,205,425,Female,
500,345,525,1370,Male,
700,400,675,1775,Male,
280,210,325,815,Male,
425,300,455,1180,Male,
545,365,545,1455,Male,
275,225,305,805,Male,
340,225,385,950,Male,
,,,985,Male,
415,255,550,1220,Male,
475,315,500,1290,Male,
350,275,525,1150,Male,
385,245,420,1050,Male,
374,264,399,1037,Male,
345,220,355,920,Male,
370,275,445,1090,Male,
70,32.5,115,217.5,Female,
345,285,475,1105,Male,
365,340,455,1160,Male,
405,245,425,1075,Male,
308.5,198,418.8,925.3,Male,
355,265,390,1010,Male,
265,265,375,905,Male,
145,60,190,395,Female,
185,115,205,505,Female,
575,350,605,1530,Male,
700,425,500,1625,Male,
460,335,555,1350,Male,
2,2,2,6,Male,
470,295,570,1335,Male,
425,275,425,1125,Male,
418,233,463,1114,Male,
175,120,245,540,Female,
215,95,285,595,Female,
,,,965,Male,
500,335,500,1335,Male,
435,315,405,1155,Male,
215,150,275,640,Female,
410,235,435,1080,Male,
400,215,415,1030,Male,
305,170,365,840,Female,
425,245,500,1170,Male,
295,225,390,910,Male,
,300,405,705,Male,
315,275,405,995,Male,
295,245,365,905,Male,
175,125,225,525,Female,
365,275,435,1075,Male,
255,150,245,650,Female,
275,185,335,795,Male,
500,350,525,1375,Male,
365,275,435,1075,Male,
335,300,365,1000,Male,
265,155,355,775,Female,
280,250,358,888,Male,
180,110,280,570,Female,
345,215,325,885,Male,
405,350,545,1300,Male,
275,215,345,835,Male,
365,245,405,1015,Male,
215,115,275,605,Female,
475,330,515,1320,Male,
335,325,435,1095,Male,
365,205,415,985,Male,
365,350,425,1140,Male,
55,65,130,250,Female,
250,155,315,720,Female,
340,245,430,1015,Male,
515,485,550,1550,Male,
550,385,650,1585,Male,
342,260,440,1042,Male,
395,295,445,1135,Male,
365,365,455,1185,Male,
385,190,425,1000,Male,
315,235,385,935,Male,
505,365,585,1455,Male,
223,480,452,1155,Male,
739,451,771,1961,Male,
295,215,385,895,Male,
300,155,315,770,Female,
465,315,465,1245,Male,
155,90,185,430,Female,
385,255,425,1065,Male,
337,275,420,1032,Male,
505,365,505,1375,Male,
275,245,365,885,Male,
245,225,305,775,Male,
725,485,585,1795,Male,
231,121,330,682,Female,
315,237,435,987,Male,
340,245,430,1015,Male,
275,170,340,785,Male,
245,125,315,685,Female,
545,365,535,1445,Male,
331,270.5,463,1064.5,Male,
125,105,205,435,Female,
132,104,154,390,Female,
255,165,315,735,Female,
455,295,435,1185,Male,
315,315,370,1000,Male,
335,175,365,875,Male,
260,225,330,815,Male,
332,275,425,1032,Male,
205,175,280,660,Female,
385,245,405,1035,Male,
312,272,426.6,1010.6,Male,
415,245,475,1135,Male,
405,225,405,1035,Male,
350,300,365,1015,Male,
210,145,260,615,Female,
264.5,184,338.4,786.9,Male,
205,100,205,510,Female,
415,245,495,1155,Male,
410,300,515,1225,Male,
365,335,425,1125,Male,
335,275,405,1015,Male,
375,325,465,1165,Male,
260,155,275,690,Female,
175,120,230,525,Male,
345,255,425,1025,Male,
,315,495,810,Male,
362.5,238,435,1035.5,Male,
315,235,405,955,Male,
407.5,315,545,1267.5,Male,
575,355,495,1425,Male,
515,425,530,1470,Male,
135,95,185,415,Female,
245,205,365,815,Male,
,,,905,Male,
305,165,315,785,Female,
400,275,475,1150,Male,
500,340,565,1405,Male,
345,230,330,905,Female,
415,250,435,1100,Male,
295,245,335,875,Male,
315,300,435,1050,Male,
245,150,300,695,Female,
225,160,295,680,Male,
345,235,375,955,Male,
405,285,455,1145,Male,
250,170,365,785,Male,
280,195,365,840,Male,
355,225,415,995,Male,
125,0,145,270,Female,
455,295,455,1205,Male,
345,275,345,965,Male,
425,295,515,1235,Male,
440,250,450,1140,Male,
425,340,535,1300,Male,
285,215,0,500,Male,
365,240,405,1010,Male,
665,435,675,1775,Male,
460,315,475,1250,Male,
315,220,365,900,Female,
305,255,425,985,Male,
440,253,506,1199,Male,
365,265,385,1015,Male,
225,200,300,725,Male,
215,285,360,860,Male,
500,300,550,1350,Male,
240,145,320,705,Female,
195,130,300,625,Female,
425,320,435,1180,Male,
330,220,396,946,Male,
475,255,515,1245,Male,
515,315,555,1385,Male,
492,285,555,1332,Male,
,,,875,Male,
335,315,405,1055,Male,
286.5,187,418.8,892.3,Male,
385,300,415,1100,Male,
385,300,415,1100,Male,
463,441,507,1411,Male,
370,255,375,1000,Male,
315,235,315,865,Male,
355,245,415,1015,Male,
355,254,463,1063,Male,
295,255,355,905,Male,
345,225,365,935,Male,
200,120,265,585,Female,
210,0,0,210,Female,
425,310,495,1230,Male,
385,270,405,1060,Male,
315,205,335,855,Male,
445,325,455,1225,Male,
405,320,425,1150,Male,
245,245,320,810,Male,
,,,1045,Male,
265,235,365,865,Male,
205,120,250,575,Female,
250,205,315,770,Male,
500,425,520,1445,Male,
463,308,551,1322,Male,
190,100,245,535,Female,
495,315,525,1335,Male,
215,115,200,530,Female,
275,115,255,645,Female,
405,245,445,1095,Male,
335,255,365,955,Male,
95,65,135,295,Female,
375,280,470,1125,Male,
20,15,25,60,Female,
20,15,25,60,Female,
255,245,295,795,Male,
45,35,65,145,Female,
300,225,300,825,Male,
375,305,395,1075,Male,
115,90,225,430,Female,
330,237,402,969,Male,
405,295,425,1125,Male,
375,230,405,1010,Male,
400,215,380,995,Female,
375,295,405,1075,Male,
435,305,460,1200,Male,
480,345,445,1270,Male,
615,405,0,1020,Male,
325,285,345,955,Male,
105,85,155,345,Female,
200,135,225,560,Male,
195,105,225,525,Female,
255,265,315,835,Male,
345,235,435,1015,Male,
245,185,400,830,Male,
405,365,405,1175,Male,
115,65,155,335,Female,
135,75,235,445,Male,
455,345,525,1325,Male,
115,110,140,365,Male,
358,264,402,1024,Male,
290,210,405,905,Male,
515,315,555,1385,Male,
75,55,105,235,Female,
275,155,325,755,Male,
365,205,500,1070,Male,
425,315,495,1235,Male,
315,180,350,845,Female,
310,195,320,825,Female,
325,225,385,935,Male,
305,195,280,780,Female,
265,145,300,710,Female,
235,125,245,605,Female,
355,275,425,1055,Male,
155,110,135,400,Male,
405,245,455,1105,Male,
300,275,385,960,Male,
300,285,300,885,Male,
220,200,245,665,Male,
270,176,325,771,Male,
390,320,450,1160,Male,
290,330,430,1050,Male,
265,193,335,793,Male,
235,235,235,705,Male,
370,285,475,1130,Male,
1,1,5,7,Male,
230,170,245,645,Male,
405,270,455,1130,Male,
405,225,455,1085,Male,
405,320,500,1225,Male,
507.15,303.18,573.3,1383.63,Male,
30,15,60,105,Female,
430,255,515,1200,Male,
430,275,415,1120,Male,
195,0,185,380,Female,
295,205,365,865,Male,
365,335,430,1130,Male,
456,364,508,1328,Male,
0,155,235,390,Male,
315,265,315,895,Male,
474,297,584,1355,Male,
415,205,395,1015,Male,
200,120,290,610,Female,
185,135,245,565,Male,
215,110,210,535,Female,
40,50,90,180,Female,
345,320,500,1165,Male,
225,105,275,605,Female,
365,245,455,1065,Male,
400,305,500,1205,Male,
185,200,255,640,Male,
407,352,407,1166,Male,
295,255,315,865,Male,
340,250,410,1000,Male,
345,215,365,925,Male,
325,325,405,1055,Male,
425,315,475,1215,Male,
200,135,235,570,Female,
175,0,0,175,Female,
190,0,0,190,Female,
166,144,204,514,Female,
237,185,330,752,Female,
20,10,20,50,Female,
240,145,335,720,Female,
340,250,370,960,Male,
264.55,264.55,396.8,925.9,Male,
235,165,315,715,Male,
550,315,475,1340,Male,
0,443,0,443,Male,
375,315,455,1145,Male,
0,5,5,10,Female,
365,315,445,1125,Male,
315,285,425,1025,Male,
462,345,517,1324,Male,
231,176,275,682,Male,
205,125,225,555,Female,
150,90,160,400,Female,
55,55,115,225,Female,
305,200,375,880,Female,
550,365,525,1440,Male,
210,135,320,665,Female,
315,215,375,905,Male,
425,415,505,1345,Male,
410,250,445,1105,Male,
435,315,500,1250,Male,
405,275,410,1090,Male,
315,225,360,900,Male,
225,225,235,685,Male,
555,375,575,1505,Male,
335,233,410,978,Male,
605,355,655,1615,Male,
185,115,220,520,Male,
365,315,390,1070,Male,
430,220,480,1130,Male,
155,95,115,365,Female,
350,260,430,1040,Male,
440,330,470,1240,Male,
155,80,215,450,Female,
275,165,325,765,Female,
353,204,455,1012,Male,
660,470,640,1770,Male,
95,45,125,265,Female,
555,335,575,1465,Male,
500,285,580,1365,Male,
325,175,352,852,Female,
143,99,148,390,Female,
88.18,88.18,165.3,341.66,Female,
264,231,319,814,Male,
325,305,365,995,Male,
405,330,503,1238,Male,
305,225,385,915,Male,
405,245,485,1135,Male,
225,135,355,715,Female,
245,165,315,725,Male,
415,295,445,1155,Male,
850,485,665,2000,Male,
375,335,475,1185,Male,
135,95,135,365,Female,
375,290,455,1120,Male,
335,235,405,975,Male,
175,85,165,425,Female,
335,225,335,895,Male,
585,425,475,1485,Male,
315,240,370,925,Male,
461,375,542,1378,Male,
287,287,287,861,Male,
345,255,425,1025,Male,
415,300,455,1170,Male,
420,245,465,1130,Male,
435,295,535,1265,Male,
255,300,255,810,Male,
5,5,25,35,Male,
210,135,255,600,Female,
420,305,450,1175,Male,
250,147.5,312.5,710,Female,
400,245,460,1105,Male,
365,335,455,1155,Male,
315,205,395,915,Male,
555,380,675,1610,Male,
330,145,315,790,Female,
365,200,425,990,Male,
340,300,335,975,Male,
225,182.5,265,672.5,Female,
495,405,475,1375,Male,
640,500,625,1765,Male,
410,260,450,1120,Female,
545,450,585,1580,Male,
385,315,355,1055,Male,
455,350,455,1260,Male,
500,405,445,1350,Male,
610,405,700,1715,Male,
515,395,515,1425,Male,
425,290,475,1190,Male,
15,15,45,75,Female,
15,15,45,75,Female,
15,15,55,85,Female,
365,225,455,1045,Male,
245,115,295,655,Female,
275,250,315,840,Male,
385,315,425,1125,Male,
315,205,410,930,Male,
365,255,385,1005,Male,
130,165,295,590,Male,
352,264,440,1056,Male,
250,125,330,705,Female,
400,250,465,1115,Male,
425,255,444,1124,Male,
176,99,230,505,Female,
265,195,375,835,Male,
600,400,707,1707,Male,
390,250,420,1060,Male,
315,240,435,990,Male,
205,110,215,530,Female,
385,295,455,1135,Male,
235,190,265,690,Male,
385,225,405,1015,Male,
290,180,335,805,Male,
340,250,410,1000,Male,
315,195,355,865,Male,
475,355,445,1275,Male,
120,70,135,325,Female,
120,70,135,325,Female,
435,295,425,1155,Male,
385,330,475,1190,Male,
1,1,5,7,Female,
20,15,50,85,Male,
225,105,225,555,Female,
220,115,220,555,Female,
195,105,285,585,Female,
425,280,475,1180,Male,
385,220,395,1000,Male,
170,105,200,475,Female,
225,135,255,615,Female,
325,305,390,1020,Male,
405,245,425,1075,Male,
202,232,322,756,Male,
505,331,505,1341,Male,
290,265,365,920,Male,
460,315,475,1250,Male,
210,115,270,595,Female,
380,290,545,1215,Male,
370,225,430,1025,Male,
155,65,185,405,Female,
475,335,475,1285,Male,
409,359,454,1222,Male,
205,185,325,715,Male,
135,100,200,435,Male,
425,320,480,1225,Male,
475,275,405,1155,Male,
525,400,610,1535,Male,
530,385,655,1570,Male,
410,240,430,1080,Male,
495,405,585,1485,Male,
330,220,275,825,Male,
435,260,495,1190,Male,
263,158,213,634,Female,
221,210,303,734,Male,
235,157.5,215,607.5,Male,
45,65,95,205,Female,
245,205,335,785,Male,
292.1,165.3,297.6,755,Female,
430,275,510,1215,Male,
75,75,135,285,Female,
55,55,80,190,Female,
220,130,265,615,Female,
375,295,465,1135,Male,
395,215,415,1025,Male,
335,225,405,965,Male,
265,150,260,675,Female,
285,185,335,805,Male,
335,335,405,1075,Male,
425,315,495,1235,Male,
385,300,485,1170,Male,
275,265,315,855,Male,
405,275,405,1085,Male,
254,176,309,739,Male,
330,209,352,891,Male,
155,95,205,455,Female,
205,205,205,615,Male,
200,115,225,540,Female,
410,360,475,1245,Male,
365,135,365,865,Male,
485,315,405,1205,Male,
295,175,300,770,Male,
185,225,365,775,Male,
295,165,325,785,Female,
385,355,490,1230,Male,
501.7,374.8,463,1339.5,Male,
79.4,57.3,143.3,280,Female,
295,215,325,835,Male,
500,285,455,1240,Male,
105,55,230,390,Female,
555,335,585,1475,Male,
145,75,185,405,Female,
210,85,215,510,Female,
405,315,495,1215,Male,
395.5,447.7,424.7,1267.9,Male,
418,255,500,1173,Male,
315,191.5,397,903.5,Male,
430,330,452,1212,Male,
400,310,505,1215,Male,
450,300,365,1115,Male,
315,191.5,397,903.5,Male,
225,185,225,635,Male,
455,320,495,1270,Male,
445,255,505,1205,Male,
360,265,460,1085,Male,
485,308,465,1258,Male,
435,265,485,1185,Male,
2,2,2,6,Female,
525,340,600,1465,Male,
264.5,220.4,374.7,859.6,Male,
225,185,300,710,Male,
25,25,55,105,Male,
45,25,45,115,Female,
645,405,650,1700,Male,
315,225,375,915,Male,
250,165,325,740,Male,
430,236,485,1151,Male,
705,500,770,1975,Male,
405,250,500,1155,Male,
405,325,465,1195,Male,
12,12,95,119,Male,
12,12,95,119,Male,
500,295,500,1295,Male,
153,83,193,429,Female,
415,315,455,1185,Male,
250,160,360,770,Female,
485,270,515,1270,Male,
155,100,175,430,Female,
65,65,135,265,Female,
315,145,275,735,Female,
353,235,400,988,Male,
265,175,365,805,Male,
5,5,15,25,Male,
50,45,120,215,Male,
100,65,155,320,Male,
335,275,430,1040,Male,
10,15,53,78,Male,
30,35,90,155,Male,
85,65,135,285,Male,
225,155,325,705,Male,
65,55,105,225,Female,
240,205,335,780,Male,
455,355,525,1335,Male,
420,320,530,1270,Male,
83,65,103,251,Female,
325,265,455,1045,Male,
285,145,310,740,Female,
405,315,405,1125,Male,
220,143,233,596,Female,
235,135,225,595,Female,
298,176,303,777,Female,
352,203,385,940,Female,
330,295,480,1105,Male,
405,240,435,1080,Male,
28,33,28,89,Male,
295,210,405,910,Male,
90,75,125,290,Female,
365,315,550,1230,Male,
315,285,365,965,Male,
171,100,242,513,Male,
0,0,505,505,Male,
530,315,550,1395,Male,
275,170,330,775,Female,
235,165,275,675,Female,
185,135,275,595,Male,
385,260,450,1095,Male,
650.5,446.5,785,1882,Male,
175,160,285,620,Female,
405,235,475,1115,Male,
645,385,725,1755,Male,
500,352,627,1479,Male,
285,235,345,865,Male,
308,264,352,924,Male,
195,135,225,555,Male,
300,255,380,935,Male,
341,297,370,1008,Male,
275,205,340,820,Male,
500,350,515,1365,Male,
442.7,277.3,442.7,1162.7,Male,
365,335,395,1095,Male,
315,280,335,930,Male,
275,265,295,835,Male,
365,230,405,1000,Male,
16,10.5,49,75.5,Male,
49,27,88,164,Male,
507,330,518,1355,Male,
445,255,505,1205,Male,
160,115,270,545,Female,
370,250,405,1025,Male,
314,149,314,777,Female,
440,280,455,1175,Male,
315,275,400,990,Male,
255,205,295,755,Female,
405,255,500,1160,Male,
510,340,575,1425,Male,
275,225,315,815,Male,
80,110,125,315,Male,
280,280,300,860,Male,
445,330,460,1235,Male,
45,35,45,125,Male,
225,185,345,755,Male,
345,185,385,915,Female,
365,385,195,945,Male,
640,365,855,1860,Male,
380,240,405,1025,Male,
342,212,500,1054,Male,
330.69,181.88,396.88,909.45,Male,
325,265,410,1000,Male,
175,115,205,495,Female,
247,187,297,731,Male,
15,15,75,105,Male,
145,75,165,385,Female,
355,265,435,1055,Male,
410,305,460,1175,Male,
245,260,280,785,Male,
445,350,475,1270,Male,
365,275,385,1025,Male,
315,205,325,845,Male,
275,225,325,825,Male,
155,65,180,400,Female,
255,245,255,755,Male,
280,200,325,805,Male,
285,165,365,815,Female,
225,175,275,675,Female,
316,186,300,802,Female,
275,185,405,865,Male,
405,275,420,1100,Male,
455,305,610,1370,Male,
342,231,408,981,Male,
315,315,315,945,Male,
250,175,305,730,Male,
405,355,495,1230,Male,
270,170,315,755,Male,
0,245,365,610,Male,
205,130,255,590,Female,
405,225,445,1075,Male,
10,50,100,160,Female,
270,225,315,810,Male,
405,325,405,1135,Male,
315,245,385,945,Male,
325,265,425,1015,Male,
535,315,615,1465,Male,
260,260,260,780,Male,
225,145,275,645,Female,
260,155,305,720,Female,
345,300,395,1040,Male,
260,185,275,720,Male,
350,265,455,1070,Male,
335,255,435,1025,Male,
440,270,418,1128,Male,
405,240,500,1145,Male,
345,205,390,940,Male,
365,335,405,1105,Male,
215,195,275,685,Female,
300,176,374,850,Female,
235,131,250,616,Female,
375,245,460,1080,Male,
450,280,485,1215,Male,
455,265,500,1220,Male,
305,305,305,915,Male,
320,275,405,1000,Male,
300,250,375,925,Male,
255,240,385,880,Male,
170,115,270,555,Female,
365,295,400,1060,Male,
325,225,410,960,Male,
275,205,390,870,Male,
330,285,330,945,Male,
225,180,245,650,Male,
605,420,605,1630,Male,
450,320,485,1255,Male,
225,135,250,610,Male,
132,77,172,381,Male,
525,365,496,1386,Male,
283,205,483,971,Male,
135,240,285,660,Male,
305,295,325,925,Male,
355,255,375,985,Male,
315,275,350,940,Male,
275,275,275,825,Male,
495,375,755,1625,Male,
375,225,500,1100,Male,
365,265,485,1115,Male,
415,275,405,1095,Male,
335,240,425,1000,Male,
625,385,625,1635,Male,
132,220,304,656,Male,
365,245,405,1015,Male,
204,115,220,539,Female,
374,231,407,1012,Male,
430,285,505,1220,Male,
185,90,235,510,Female,
275,225,365,865,Male,
115,95,115,325,Female,
480,336,474,1290,Male,
365,255,315,935,Male,
290,205,350,845,Male,
400,295,400,1095,Male,
405,305,505,1215,Male,
550,350,550,1450,Male,
325,235,405,965,Male,
285,155,325,765,Male,
380,205,425,1010,Male,
385,325,500,1210,Male,
315,255,505,1075,Male,
210,160,260,630,Male,
265,245,455,965,Male,
315,205,365,885,Male,
545.6,385.8,606.3,1537.7,Male,
140,130,155,425,Female,
255,190,275,720,Female,
315,230,375,920,Male,
0,0,545,545,Male,
295,175,295,765,Male,
493.8,330.7,615.1,1439.6,Male,
457,331,518,1306,Male,
135,90,145,370,Female,
320,135,275,730,Female,
535,315,555,1405,Male,
480,250,495,1225,Male,
245,205,345,795,Male,
500,350,600,1450,Male,
200,100,225,525,Female,
390,280,390,1060,Male,
365,305,405,1075,Male,
385,225,455,1065,Male,
325,255,365,945,Female,
22,5,22,49,Female,
165,90,196,451,Female,
565,437,637,1639,Male,
440,375,405,1220,Male,
385,275,435,1095,Male,
140,95,175,410,Female,
530,365,555,1450,Male,
425,350,545,1320,Male,
480,360,575,1415,Male,
10,10,25,45,Female,
275,175,355,805,Female,
215,195,215,625,Male,
465.2,284,465.2,1214.4,Male,
667,447,689,1803,Male,
600,455,635,1690,Male,
385,285,500,1170,Male,
600,390,615,1605,Male,
225,160,280,665,Female,
325,275,375,975,Male,
314.55,208.73,347.62,870.9,Male,
375,205,345,925,Male,
261.25,187.39,264.55,713.19,Male,
400,345,430,1175,Male,
335,265,440,1040,Male,
225,225,225,675,Male,
385,370,500,1255,Male,
650,495,635,1780,Male,
360,210,445,1015,Female,
355,205,365,925,Male,
420,260,485,1165,Male,
150,150,150,450,Male,
396,242,396,1034,Male,
455,225,405,1085,Male,
295,255,300,850,Male,
405,285,505,1195,Male,
463,342,452,1257,Male,
300,250,405,955,Male,
350,300,415,1065,Male,
350,255,455,1060,Male,
385,265,515,1165,Male,
225,150,255,630,Male,
300,225,300,825,Male,
455,315,505,1275,Male,
460,275,425,1160,Male,
515,385,605,1505,Male,
315,235,385,935,Male,
245,185,275,705,Male,
288,304,403,995,Male,
225,155,230,610,Male,
215,185,300,700,Male,
275,200,355,830,Male,
425,280,510,1215,Male,
210,210,240,660,Male,
300,210,395,905,Male,
465,385,525,1375,Male,
240,240,305,785,Male,
340,280,365,985,Male,
375,275,405,1055,Male,
455,250,460,1165,Male,
360,195,375,930,Female,
460,320,460,1240,Male,
0,0,55,55,Male,
0,0,66,66,Female,
0,0,95,95,Female,
405,315,475,1195,Male,
460,320,460,1240,Male,
460,240,435,1135,Female,
505,325,515,1345,Male,
435,315,515,1255,Male,
250,155,350,755,Male,
250,150,330,730,Male,
0,345,575,920,Male,
350,255,360,965,Male,
415,247,405,1067,Male,
250,145,325,720,Female,
205,105,255,565,Female,
374,275,396,1045,Male,
430,230,455,1115,Female,
505,400,575,1480,Male,
407,264,465,1136,Male,
396,242,418,1056,Male,
397,243,375,1015,Male,
400,215,380,995,Female,
350,300,365,1015,Male,
225,135,255,615,Female,
290,225,380,895,Male,
165,95,180,440,Female,
185,155,237.5,577.5,Male,
352,352,396,1100,Male,
425,287,497,1209,Male,
370,265,480,1115,Male,
555,385,545,1485,Male,
415,370,617.2,1402.2,Male,
365,285,415,1065,Male,
280,245,365,890,Male,
397,276,485,1158,Male,
305,260,355,920,Male,
185,135,0,320,Male,
275,185,325,785,Male,
415,275,455,1245,Male,
205,135,205,545,Female,
255,155,305,715,Male,
25,25,30,80,Male,
225,140,245,610,Male,
1,65,65,131,Male,
305,225,315,845,Male,
425,250,485,1160,Male,
525,375,525,1425,Male,
0,315,0,315,Male,
420,330,510,1260,Male,
405,225,455,1085,Male,
375,265,435,1075,Male,
355,275,400,1030,Male,
420,350,440,1210,Male,
535,335,565,1435,Male,
375,315,500,1190,Male,
315,245,320,880,Female,
405,275,455,1135,Male,
345,265,475,1085,Male,
315,265,435,1015,Male,
345,275,405,1025,Male,
370,240,425,1035,Male,
545,355,555,1455,Male,
475,425,545,1445,Male,
405,295,455,1155,Male,
225,135,305,665,Female,
285,210,355,850,Male,
315,235,345,895,Male,
235,185,445,865,Male,
405,325,495,1225,Male,
190,155,220,565,Female,
250,165,295,710,Male,
370,215,475,1060,Male,
445,320,375,1140,Male,
405,250,405,1060,Male,
555,425,650,1630,Male,
545,345,565,1455,Male,
275,165,255,695,Female,
112.5,102.5,187,402,Female,
405,290,510,1205,Male,
605,425,635,1665,Male,
355,155,335,845,Female,
240,145,301,686,Female,
265,145,330,740,Male,
215,115,255,585,Male,
205,115,225,545,Female,
105,45,115,265,Female,
143.3,74.96,147,365.26,Female,
220,154,264,638,Female,
235,190,305,730,Male,
175,125,225,525,Female,
405,225,455,1085,Male,
335,292.5,420,1047.5,Male,
365,255,435,1055,Male,
235,137.5,275,647.5,Female,
315,255,415,985,Male,
337,315,405,1057,Male,
405,275,455,1135,Male,
275,205,315,795,Male,
410,250,465,1125,Male,
327.3,187.3,374.7,889.3,Male,
315,240,365,920,Male,
320,152,403,875,Female,
145,77,215,437,Female,
155,135,200,490,Female,
45,55,75,175,Female,
225,145,255,625,Female,
95,100,185,380,Female,
195,95,235,525,Female,
340,275,420,1035,Male,
118,78,173,369,Female,
440,292,501,1233,Male,
135,85,165,385,Female,
145,105,200,450,Female,
305,245,330,880,Male,
595,475,515,1585,Male,
385,265,365,1015,Male,
315,215,300,830,Male,
475,325,560,1360,Male,
450,240,490,1180,Female,
335,245,275,855,Male,
225,165,225,615,Female,
446.4,286.6,501.5,1234.5,Male,
40,30,40,110,Female,
225,115,235,575,Female,
217.5,137.5,217.5,572.5,Female,
45,50,65,160,Female,
260,163,330,753,Female,
315,225,325,865,Male,
145,60,145,350,Female,
185,155,205,545,Male,
125,100,175,400,Female,
405,235,405,1045,Male,
65,95,155,315,Female,
255,135,325,715,Female,
135,110,235,480,Female,
475,325,500,1300,Male,
275,165,275,715,Female,
175,80,175,430,Female,
115,80,200,395,Female,
330,205,335,870,Female,
195,105,260,560,Female,
395,265,475,1135,Male,
75,50,135,260,Female,
445,260,495,1200,Male,
365,250,400,1015,Male,
182,105,220,507,Female,
125,100,145,370,Female,
295,230,375,900,Male,
95,65,135,295,Female,
242.5,216,308.6,767.1,Male,
475,285,525,1285,Male,
500,365,555,1420,Male,
195,100,195,490,Female,
217.5,185,217.5,620,Male,
205,125,225,555,Male,
345,225,435,1005,Male,
254,198,265,717,Male,
205,185,270,660,Male,
275,205,325,805,Male,
250,175,250,675,Male,
145,65,185,395,Female,
133,111,167,411,Female,
405,290,425,1120,Male,
275,165,305,745,Male,
435,325,555,1315,Male,
165,165,170,500,Male,
55,55,85,195,Male,
605,465,570,1640,Male,
470,300,530,1300,Male,
235,125,230,590,Female,
118,72,116,306,Female,
285,140,395,820,Female,
250,135,275,660,Female,
265,185,205,655,Female,
100,85,95,280,Female,
650,410,585,1645,Male,
650,410,585,1645,Male,
275,185,315,775,Male,
300.3,204,314.8,819.1,Male,
245,115,300,660,Male,
265,165,345,775,Female,
195,85,215,495,Female,
225,115,250,590,Female,
395,300,585,1280,Male,
342,215,380,937,Male,
500,308,534,1342,Male,
220,115,295,630,Female,
35,20,45,100,Female,
110,75,125,310,Female,
555,335,550,1440,Male,
275,225,320,820,Male,
365,355,385,1105,Male,
415,305,425,1145,Male,
475,295,585,1355,Male,
250,235,305,790,Male,
435,345,515,1295,Male,
405,205,405,1015,Male,
185,105,215,505,Female,
345,260,360,965,Male,
335,275,365,975,Male,
285,185,275,745,Male,
315,275,415,1005,Male,
390,255,390,1035,Male,
365,245,455,1065,Male,
275,275,275,825,Male,
300,300,375,975,Male,
320,235,360,915,Male,
225,135,265,625,Male,
375,300,425,1100,Male,
225,215,290,730,Male,
40,25,75,140,Female,
440,340,500,1280,Male,
5,10,35,50,Male,
35,30,85,150,Male,
115,95,225,435,Female,
368.5,265,445,1078.5,Male,
75,45,115,235,Male,
225,150,315,690,Female,
155,115,236,506,Female,
405,315,505,1225,Male,
405,315,455,1175,Male,
215,135,225,575,Female,
275,225,355,855,Male,
456,385,550,1391,Male,
135,245,135,515,Male,
215,185,265,665,Male,
365,265,455,1085,Male,
175,115,185,475,Female,
250,165,250,665,Male,
400,300,500,1200,Male,
370,230,425,1025,Male,
452,254,440,1146,Male,
460,340,535,1335,Male,
655,395,665,1715,Male,
120,120,120,360,Female,
445,315,565,1325,Male,
165,115,185,465,Female,
529,298,540,1367,Male,
245,160,335,740,Female,
195,95,185,475,Female,
435,285,455,1175,Male,
255,155,315,725,Female,
325,165,360,850,Female,
495,350,465,1310,Male,
350,245,425,1020,Male,
280,195,350,825,Male,
95,65,135,295,Female,
345,185,370,900,Male,
415,275,510,1200,Male,
415,305,495,1215,Male,
585,355,635,1575,Male,
145,85,235,465,Female,
140,140,185,465,Female,
235,235,235,705,Male,
205,170,255,630,Male,
205,140,245,590,Male,
435,295,505,1235,Male,
365,290,450,1105,Male,
275,195,285,755,Female,
350,205,450,1005,Male,
415,295,435,1145,Male,
465,265,520,1250,Male,
225,215,290,730,Male,
747.5,386.8,767.5,1901.8,Male,
434,364,491.5,1289.5,Male,
297.6,148.8,308.6,755,Female,
0,100,215,315,Female,
185,115,270,570,Female,
385,315,495,1195,Male,
375,335,495,1205,Male,
465,285,505,1255,Male,
335,250,345,930,Male,
425,315,435,1175,Male,
295,205,435,935,Male,
480,345,435,1260,Male,
115,75,185,375,Female,
10,5,10,25,Female,
155,120,220,495,Female,
475,330,567.5,1372.5,Male,
325,215,380,920,Male,
450,320,465,1235,Male,
295,215,405,915,Male,
600,390,675,1665,Male,
385,240,500,1125,Male,
435,205,415,1055,Female,
275,275,455,1005,Male,
385,185,405,975,Male,
185,155,275,615,Male,
405,236,451,1092,Male,
414,365,475,1254,Male,
485,292,579,1356,Male,
158,0,158,316,Male,
385,337,435,1157,Male,
430,275,500,1205,Male,
5,5,15,25,Male,
235,200,305,740,Male,
385,337,435,1157,Male,
285,210,395,890,Male,
572,330,550,1452,Male,
235,205,365,805,Male,
365,295,405,1065,Male,
415,275,455,1145,Male,
285,225,290,800,Male,
450,330,460,1240,Male,
265,165,290,720,Female,
70,42.5,100,212.5,Female,
76,51,123,250,Female,
156,101,205,462,Female,
183,183,225,591,Male,
160,90,185,435,Female,
500,290,545,1335,Male,
447,317,447,1211,Male,
