Squat,Bench,Deadlift,Total,Gender
310,162,325,797,Male
405,320,445,1170,Male
135,75,175,385,Female
342,220,452,1014,Male
425,340,475,1240,Male
143,88,243,474,Female
415,255,415,1085,Male
135,45,135,315,Female
365,275,435,1075,Male
155,105,185,445,Female
205,150,235,590,Female
175,65,175,415,Female
325,260,385,970,Male
365,245,415,1025,Male
295,233,373,900,Male
245,185,335,765,Male
335,290,335,960,Male
,,33,33,Female
409,226,529,1164,Male
315,245,405,965,Male
465,405,515,1385,Male
235,145,260,640,Female
300,240,400,940,Male
235,235,250,720,Male
500,325,545,1370,Male
285,215,345,845,Male
375,295,435,1105,Male
345,275,405,1025,Male
110,93,155,358,Female
350,265,425,1040,Male
385,265,525,1175,Male
385,250,405,1040,Male
275,240,375,890,Male
402,298,469,1168,Male
165,120,215,500,Female
364,232,469,1064,Male
465,335,605,1405,Male
315,411,505,1231,Male
450,340,540,1330,Male
480,352,595,1427,Male
470,320,510,1300,Male
205,125,275,605,Female
365,275,385,1025,Male
415,345,475,1235,Male
425,315,455,1195,Male
365,275,405,1045,Male
145,85,170,400,Female
315,215,414,944,Male
220,132,264,616,Male
215,165,335,715,Male
215,180,230,625,Male
235,145,245,625,Female
245,170,345,760,Male
255,250,300,805,Male
210,133,286,629,Male
210,132,265,606,Male
230,180,315,725,Male
133,231,304,668,Male
375,237,375,987,Male
397,298,463,1157,Male
185,200,255,640,Male
440,285,515,1240,Male
335,195,415,945,Male
315,255,385,955,Male
715,425,735,1875,Male
330,215,385,930,Male
405,285,465,1155,Male
405,315,405,1125,Male
235,130,300,665,Female
355,250,465,1070,Male
425,285,525,1235,Male
555,405,605,1565,Male
315,245,355,915,Male
385,335,515,1235,Male
185,155,285,625,Male
342,232,298,871,Male
405,285,545,1235,Male
430,295,475,1200,Male
315,285,405,1005,Male
285,225,425,935,Male
115,65,145,325,Male
155,172,250,577,Female
385,255,445,1085,Male
375,245,375,995,Male
375,335,390,1100,Male
147,127,220,494,Male
503,340,608,1451,Male
385,255,400,1040,Male
335,225,455,1015,Male
435,335,475,1245,Male
245,185,245,675,Male
275,295,385,955,Male
313,230,374,917,Male
335,245,395,975,Male
315,225,425,965,Male
455,315,500,1270,Male
320,195,335,850,Male
531,332,552,1415,Male
255,45,325,625,Male
150,85,165,400,Female
350,240,350,940,Female
445,355,500,1300,Male
25,,78,103,Male
80,,80,160,Male
345,225,390,960,Male
350,260,380,990,Male
355,210,405,970,Male
295,275,300,870,Male
315,205,295,815,Male
505,335,595,1435,Male
135,135,115,385,Male
525,415,525,1465,Male
640,435,725,1800,Male
345,185,365,895,Female
305,215,305,825,Male
250,180,300,730,Female
204,204,204,612,Male
425,285,430,1140,Male
190,125,305,620,Male
385,245,385,1015,Male
545,455,615,1615,Male
405,335,405,1145,Male
18,10,35,63,Female
335,195,335,865,Male
5,15,15,35,Male
630,410,635,1675,Male
450,350,490,1290,Male
175,130,225,530,Male
365,275,455,1095,Male
280,240,420,940,Male
405,335,525,1265,Male
220,155,220,595,Male
425,300,505,1230,Male
303,263,438,1004,Male
270,240,340,850,Male
315,255,355,925,Male
0,0,5,5,Male
0,0,9,9,Male
0,4,5,9,Male
0,0,10,10,Male
7.5,2.5,10,20,Male
5,5,5,15,Male
2,2,7,11,Female
3,3,25,31,Male
0,2,18,20,Female
0,0,5,5,Male
2,2,5,9,Male
10,5,35,50,Female
5,5,10,20,Female
12,12,27.5,51.5,Male
11,6,26,43,Female
0,5,0,5,Female
0,5,10,15,Male
3,3,40,46,Male
15,10,35,60,Female
3,3,3,9,Female
20,15,40,75,Female
15,15,37,67,Male
6,6,15,27,Male
16,8,45,69,Female
30,20,35,85,Female
10,10,15,35,Female
35,1,55,91,Male
25,25,40,90,Male
6,6,10,22,Female
20,25,45,90,Male
10,10,10,30,Female
25,17.5,40,82.5,Female
65,45,80,190,Male
25,25,45,95,Female
30,20,75,125,Male
45,25,75,145,Male
35,30,55,120,Male
17.5,19.5,75,112,Male
27.5,27.5,45,100,Male
60.5,33,109,202.5,Male
5,5,30,40,Male
35,35,35,105,Male
25,25,55,105,Female
12,12,27,51,Female
40,30,75,145,Male
45,25,75,145,Male
65,45,100,210,Female
80,60,95,235,Male
105,45,145,295,Female
35,35,35,105,Male
88,44,109,241,Male
45,40,115,200,Female
75,40,100,215,Female
40,30,75,145,Male
80,45,45,170,Male
32,37,75,144,Male
10,10,15,35,Female
75,62.5,125,262.5,Male
310,260,400,970,Male
85,50,135,270,Female
82,65,95,242,Female
95,75,135,305,Female
105,50,115,270,Female
100,75,165,340,Male
80,55,135,270,Female
55,55,100,210,Male
0,165,0,165,Male
225,180,0,405,Male
90,70,90,250,Male
195,140,185,520,Male
245,205,335,785,Male
182.5,115,202.5,500,Male
315,320,435,1070,Male
305,240,390,935,Male
455,275,495,1225,Male
415,225,420,1060,Male
255,135,255,645,Male
285,215,325,825,Male
60,50,80,190,Male
225,135,265,625,Male
435,280,515,1230,Male
335,215,345,895,Male
215,145,275,635,Male
0,180,0,180,Male
280,180,340,800,Male
115,105,105,325,Male
330,165,415,910,Male
535,345,545,1425,Male
125,125,125,375,Male
335,255,455,1045,Male
365,270,375,1010,Male
230,225,275,730,Male
45,35,75,155,Female
405,215,545,1165,Male
355,235,385,975,Male
140,120,144,404,Male
136,141,0,277,Male
155,115,210,480,Female
55,45,55,155,Female
370,245,465,1080,Male
390,235,460,1085,Male
345,215,415,975,Male
295,245,375,915,Male
555,370,600,1525,Male
345,275,315,935,Male
347,248,512.5,1107.5,Male
652,408,662,1722,Male
275,205,315,795,Male
245,245,320,810,Male
315,225,315,855,Male
305,155,325,785,Male
340,275,385,1000,Male
325,185,365,875,Male
205,190,225,620,Male
200,105,220,525,Female
295,225,455,975,Male
131.5,100,120,351.5,Male
295,200,385,880,Male
230,155,285,670,Male
275,215,345,835,Male
265,182.5,247.5,695,Male
170,125,260,555,Female
500,335,555,1390,Male
195,80,185,460,Female
305,215,375,895,Male
55,32.5,60,147.5,Female
438,370,491,1299,Male
58,34,80,172,Female
225,245,405,875,Male
405,325,475,1205,Male
