Squat,Bench,Deadlift,Total,Gender
405,360,405,1170,Male
145,100,190,435,Female
50,27,80,157,Female
480,325,495,1300,Male
135,185,215,535,Male
385,300,455,1140,Male
182.5,115,220,517.5,Male
500,300,650,1450,Male
415,325,485,1225,Male
335,300,415,1050,Male
140,70,180,390,Female
500,285,510,1295,Male
275,225,335,835,Male
245,192.5,255,692.5,Male
275,205,345,825,Male
315,205,405,925,Male
500,285,555,1340,Male
355,260,435,1050,Male
195,115,200,510,Male
135,115,185,435,Female
360,210,425,995,Male
290,225,315,830,Male
620,335,650,1605,Male
140,100,180,420,Female
165,99,209,473,Female
165,99,209,473,Female
355,285,465,1105,Male
185,135,225,545,Male
415,320,440,1175,Male
115,65,140,320,Female
200,115,220,535,Female
275,215,295,785,Female
525,365,585,1475,Male
360,245,411,1016,Male
345,0,480,825,Male
285,255,300,840,Male
150,105,155,410,Female
135,115,135,385,Female
260,185,395,840,Male
220,200,280,700,Male
230,140,225,595,Female
500,375,525,1400,Male
505,315,455,1275,Male
65,55,135,255,Female
465,320,605,1390,Male
170,105,215,490,Female
420,275,530,1225,Male
345,275,510,1130,Male
300,200,340,840,Female
314,244,414,972,Male
145,100,175,420,Female
135,75,145,355,Female
45,320,135,500,Male
375,280,455,1110,Male
315,295,365,975,Male
192.5,127.5,185,505,Male
405,290,565,1260,Male
33,33,33,99,Female
200,120,245,565,Female
330,210,405,945,Male
345,255,485,1085,Male
266,310,394,970,Male
25,45,85,155,Female
285,215,350,850,Male
475,355,565,1395,Male
315,280,335,930,Male
355,200,365,920,Female
395,295,465,1155,Male
305,225,375,905,Male
405,275,435,1115,Male
365,265,425,1055,Male
295,205,335,835,Male
110,82.5,110,302.5,Male
245,195,285,725,Male
405,315,505,1225,Male
490,375,530,1395,Male
305,205,365,875,Male
700,455,620,1775,Male
405,365,455,1225,Male
285,205,300,790,Male
245,160,340,745,Male
395,255,445,1095,Male
325,225,425,975,Male
455,275,405,1135,Male
175,110,190,475,Male
200,100,255,555,Male
215,135,315,665,Male
405,275,485,1165,Male
75,65,175,315,Female
430,295,525,1250,Male
285,270,375,930,Male
290,190,315,795,Male
455,205,675,1335,Male
75,40,100,215,Female
265,235,335,835,Male
425,295,445,1165,Male
300,245,405,950,Male
135,125,185,445,Female
330,235,335,900,Male
405,295,495,1195,Male
445,270,535,1250,Male
491,303,578,1372,Male
335,315,365,1015,Male
350,260,445,1055,Male
455,300,565,1320,Male
340,225,390,955,Male
45,40,0,85,Other
350,285,435,1070,Male
455,275,545,1275,Male
355,225,350,930,Male
365,300,405,1070,Male
300,185,365,850,Male
425,300,465,1190,Male
495,305,565,1365,Male
305,225,305,835,Male
475,305,585,1365,Male
255,255,315,825,Male
85,65,145,295,Female
385,215,440,1040,Male
215,250,350,815,Male
135,135,295,565,Male
145,85,200,430,Female
225,235,255,715,Male
315,235,355,905,Male
330,215,375,920,Male
275,225,315,815,Male
530,385,535,1450,Male
290,155,365,810,Male
137.5,87.5,157.5,382.5,Female
285,165,325,775,Female
305,225,425,955,Male
205,205,255,665,Male
375,315,425,1115,Male
145,125,235,505,Female
375,252,480,1107,Female
325,270,390,985,Male
230,177.5,275,682.5,Male
95,60,112,267,Female
225,185,315,725,Male
285,255,365,905,Male
235,235,295,765,Male
525,365,600,1490,Male
540,215,515,1270,Male
85,65,115,265,Female
55,45,95,195,Female
240,140,230,610,Male
525,425,495,1445,Male
365,205,335,905,Male
505,295,480,1280,Male
315,225,350,890,Male
405,245,540,1190,Male
525,355,545,1425,Male
320,173,330,823,Female
75,75,145,295,Female
300,250,375,925,Male
345,205,385,935,Male
385,225,385,995,Male
480,325,465,1270,Male
335,275,345,955,Male
240,160,325,725,Male
500,375,600,1475,Male
455,345,445,1245,Male
255,142.5,290,687.5,Female
335,215,365,915,Male
65,45,65,175,Female
190,225,355,770,Male
150,100,170,420,Male
285,210,375,870,Male
190,120,205,515,Male
135,130,165,430,Male
250,205,345,800,Male
305,245,305,855,Male
535,485,585,1605,Male
370,285,445,1100,Male
340,285,500,1125,Male
100,95,145,340,Female
270,260,340,870,Male
185,135,225,545,Female
405,290,425,1120,Male
170,105,200,475,Female
450,275,475,1200,Male
364,249,384,997,Male
296,196,386,878,Male
250,200,335,785,Male
385,215,440,1040,Male
165,145,200,510,Female
425,300,455,1180,Male
385,285,435,1105,Male
282,242,367,891,Male
225,130,325,680,Female
315,225,355,895,Male
375,260,425,1060,Male
243,276,265,784,Male
345,265,345,955,Male
390,265,475,1130,Male
395,305,500,1200,Male
300,255,415,970,Male
365,275,405,1045,Male
315,225,355,895,Male
465,325,515,1305,Male
420,305,429,1154,Male
405,315,385,1105,Male
345,285,425,1055,Male
485,365,555,1405,Male
425,325,445,1195,Male
325,265,455,1045,Male
350,160,315,825,Female
250,200,295,745,Male
320,240,410,970,Male
495,345,495,1335,Male
325,275,375,975,Male
152.5,95,235,482.5,Male
235,185,300,720,Male
125,90,195,410,Female
315,235,335,885,Male
485,315,505,1305,Male
360,315,455,1130,Male
445,305,455,1205,Male
315,185,365,865,Male
630,440,675,1745,Male
130,85,135,350,Female
350,265,400,1015,Male
320,205,390,915,Male
386,311,456,1153,Male
405,255,445,1105,Male
146,78,167.5,391.5,Female
315,320,345,980,Male
155,95,155,405,Female
350,250,405,1005,Male
385,295,385,1065,Male
225,175,300,700,Male
325,265,445,1035,Male
300,210,330,840,Male
500,500,350,1350,Male
145,95,214,454,Female
345,235,420,1000,Male
550,300,425,1275,Male
550,385,565,1500,Male
255,225,225,705,Male
425,300,500,1225,Male
425,345,475,1245,Male
355,275,415,1045,Male
205,120,285,610,Female
405,225,415,1045,Male
405,296,475,1176,Male
72.5,42.5,110,225,Female
425,255,455,1135,Male
365,245,475,1085,Male
425,265,465,1155,Male
400,185,465,1050,Male
575,325,610,1510,Male
275,205,340,820,Male
375,265,405,1045,Male
300,245,315,860,Male
230,107.5,250,587.5,Female
265,200,300,765,Male
233,200,300,733,Male
235,140,340.5,715.5,Female
455,350,525,1330,Male
300,235,315,850,Male
195,145,195,535,Male
315,285,405,1005,Male
405,275,475,1155,Male
335,250,475,1060,Male
375,100,315,790,Male
175,110,225,510,Female
225,225,315,765,Male
335,250,420,1005,Male
205,100,235,540,Female
485,345,570,1400,Male
625,385,700,1710,Male
385,320,335,1040,Male
452,353,474,1279,Male
315,195,405,915,Male
355,255,455,1065,Male
365,295,365,1025,Male
300,227.5,475,1002.5,Male
380,225,430,1035,Male
455,365,475,1295,Male
520,330,585,1435,Male
500,245,475,1220,Male
365,330,455,1150,Male
405,405,405,1215,Male
315,225,425,965,Male
145,85,125,355,Female
215,130,220,565,Female
405,270,493,1168,Male
137.5,90,170,397.5,Male
408,265,408,1081,Male
295,205,385,885,Male
285,180,375,840,Female
130,100,200,430,Male
380,210,480,1070,Male
330,245,365,940,Male
265,150,325,740,Male
105,80,135,320,Male
455,295,515,1265,Male
160,120,180,460,Male
425,350,516,1291,Male
475,315,450,1240,Male
345,230,425,1000,Male
95,65,105,265,Female
365,345,405,1115,Male
272.5,165,235,672.5,Male
240,133,315,688,Female
105,65,175,345,Female
330,275,365,970,Male
35,95,155,285,Female
180,110,235,525,Female
385,345,525,1255,Male
400,305,415,1120,Male
635,385,605,1625,Male
325,190,345,860,Male
315,270,385,970,Male
225,125,315,665,Female
435,325,475,1235,Male
280,190,345,815,Male
300,255,385,940,Male
355,190,385,930,Female
185,115,210,510,Female
405,280,415,1100,Male
7.85714,6.07143,12.8571,26.78567,Female
295,185,315,795,Male
238,163,313,714,Female
405,380,415,1200,Male
315,255,405,975,Male
404,462,434,1300,Male
405,255,455,1115,Male
405,260,405,1070,Male
81,92,142,315,Male
375,295,520,1190,Male
225,415,425,1065,Male
215,245,365,825,Male
77.5,50,90,217.5,Female
65,65,135,265,Female
315,245,365,925,Male
395,290,425,1110,Male
125,126,125,376,Male
305,230,330,865,Male
275,185,365,825,Male
415,215,470,1100,Male
330,205,395,930,Male
355,300,365,1020,Male
150,95,210,455,Female
165,210,345,720,Male
205,155,225,585,Female
365,245,475,1085,Male
185,95,165,445,Female
480,315,595,1390,Male
232,177,272,681,Male
325,285,350,960,Male
305,265,325,895,Male
455,345,545,1345,Male
335,275,385,995,Male
345,175,395,915,Male
450,300,475,1225,Male
425,330,455,1210,Male
217.5,130,250,597.5,Male
340,255,435,1030,Male
365,325,415,1105,Male
385,235,480,1100,Male
315,202.5,365,882.5,Male
238.5,143,261,642.5,Male
410,282,495,1187,Male
275,265,345,885,Male
248,193,282,723,Female
172.5,145,197.5,515,Male
235,195,405,835,Male
270,150,345,765,Female
137.5,67.5,168.5,373.5,Female
195,85,135,415,Female
177.5,105.4,200,482.9,Male
320,215,397,932,Male
200,192,240,632,Male
0,190,0,190,Male
115,90,139,344,Female
150,105,230,485,Female
95,65,165,325,Female
525,285,525,1335,Male
0,260,0,260,Male
150,95,185,430,Male
100,80,135,315,
460,330,535,1325,Male
315,275,315,905,Male
330,235,475,1040,Male
340,260,465,1065,Male
345,215,450,1010,Male
275,155,315,745,Male
225,245,225,695,Male
315,225,405,945,Male
452.02500000000003,308.7,418.95,1179.675,Male
455,315,545,1315,Male
425,275,455,1155,Male
245,175,265,685,Male
102,102,102,306,Male
355,275,385,1015,Male
308.7,198.45000000000002,352.8,859.95,Male
405,240,445,1090,Male
365,205,360,930,Female
320,210,370,900,Male
455,315,455,1225,Male
585,455,595,1635,Male
615,335,655,1605,Male
485,385,545,1415,Male
501,405,475,1381,Male
405,408,496,1309,Male
452,292,502,1246,Male
435.4875,275.625,507.15000000000003,1218.2625,Male
425,205,585,1215,Male
455,275,445,1175,Male
405,235,485,1125,Male
350,245,405,1000,Male
302,205,355,862,Female
295,172.5,335,802.5,Female
275.625,209.475,308.7,793.8000000000001,Male
285,165,330,780,Female
275.625,154.35,286.65000000000003,716.625,Female
385.875,165.375,154.35,705.6,Male
270,155,255,680,Female
230,150,265,645,Female
165,115,285,565,Female
202,165,325,692,Female
180,95,220,495,Female
455,330,500,1285,Male
285,215,315,815,Female
176,180,275,631,Female
295,275,355,925,Male
297.675,220.5,374.85,893.025,Male
705,495,680,1880,Male
635,400,715,1750,Male
575,380,575,1530,Male
465,335,585,1385,Male
476,301,606,1383,Male
505,275,555,1335,Male
490,286,551,1327,Male
410,315,545,1270,Male
445,315,495,1255,Male
440,352,452,1244,Male
455,275,495,1225,Male
455,315,455,1225,Male
430,270,505,1205,Male
475,230,475,1180,Male
400,355,420,1175,Male
405,275,455,1135,Male
380,240,500,1120,Male
,,1117.935,1117.935,Male
365,250,415,1030,Male
325,245,455,1025,Male
485.1,330.75,198.45000000000002,1014.3000000000001,Male
345,230,425,1000,Male
285,240,365,890,Male
325,155,370,850,Female
285,157.5,375,817.5,Female
155,65,185,405,Female
135,135,115,385,Male
405,345,405,1155,Male
105,65,155,325,Female
485,300,645,1430,Male
325,185,405,915,Male
133,133,133,399,Male
115.7625,99.22500000000001,170.88750000000002,385.875,Female
585,415,545,1545,Male
515,385,600,1500,Male
529.2,363.825,606.375,1499.4,Male
540.225,380.3625,573.3000000000001,1493.8875,Male
485,305,655,1445,Male
500,355,555,1410,Male
520,345,455,1320,Male
457.45,314.16,529.1,1300.71,Male
435,297,568,1300,Male
435,340,505,1280,Male
415,330,475,1220,Male
430,315,475,1220,Male
365,275,435,1075,Male
320.67,243.5,415,979.17,Male
230,135,315,680,Female
507.15000000000003,259.08750000000003,573.3000000000001,1339.5375000000001,Male
382.788,274.9635,442.76400000000007,1100.5155,Male
455,315,475,1245,Male
44.1,127.89,211.68,383.67,Female
405,285,405,1095,Male
335,195,385,915,Male
400,305,455,1160,Male
463.05,286.65000000000003,529.2,1278.9,Male
135,115,225,475,Female
405,225,405,1035,Male
275,255,447,977,Male
540,315,615,1470,Male
165,110,215,490,Female
475,315,515,1305,Male
,,1,1,Male
661.5,457.5375,727.65,1846.6875,Male
600,400,625,1625,Male
474,391,550,1415,Male
484,346,572,1402,Male
535,325,535,1395,Male
455,425,455,1335,Male
445,310,535,1290,Male
474.075,308.7,507.15000000000003,1289.925,Male
475,305,500,1280,Male
405,335,405,1145,Male
420,235,480,1135,Male
365,315,405,1085,Male
315,225,405,945,Male
365,195,375,935,Male
365,255,315,935,Male
315,185,325,825,Male
205,150,315,670,Female
286.65000000000003,198.45000000000002,286.65000000000003,771.75,Male
445,275,475,1195,Male
135,155,135,425,Female
570,385,623,1578,Male
228,116,285,629,Female
315,225,405,945,Male
405,275,430,1110,Male
560,340,600,1500,Male
515,335,600,1450,Male
455,365,604,1424,Male
505,315,475,1295,Male
405,315,500,1220,Male
385,250,405,1040,Male
405,225,405,1035,Male
335,280,355,970,Male
315,225,405,945,Male
246,190,325,761,Female
259.08750000000003,170.88750000000002,303.1875,733.1625,Female
185,140,275,600,Female
455,315,500,1270,Male
575,465,675,1715,Male
585,415,575,1575,Male
562.275,402.4125,606.375,1571.0625,Male
540,385,562,1487,Male
501,255,475,1231,Male
405,260,507,1172,Male
385,250,500,1135,Male
605,405,605,1615,Male
,375,,375,Male
551,375,675,1601,Male
485.1,352.8,573.3000000000001,1411.2,Male
455,295,565,1315,Male
425,395,480,1300,Male
475,305,501,1281,Male
400,355,500,1255,Male
445,250,465,1160,Male
395,275,475,1145,Male
375,200,455,1030,Male
295,280,435,1010,Female
315,225,460,1000,Male
315,205,405,925,Male
341.77500000000003,184.1175,341.77500000000003,867.6675,Female
225,155,290,670,Female
160,115,215,490,Female
495,315,495,1305,Male
385,335,475,1195,Male
385,295,480,1160,Male
310,165,340,815,Male
410,245,440,1095,Male
535,345,485,1365,Male
455,250,365,1070,Male
555,305,580,1440,Male
275,225,365,865,Male
275,225,300,800,Male
335,300,405,1040,Male
455,315,505,1275,Male
325,255,420,1000,Male
495,305,500,1300,Male
633.5,341,700.5,1675,Male
441,286.65000000000003,551.25,1278.9,Male
352.8,253.57500000000002,501.6375,1108.0125,Male
135,135,225,495,Male
315,225,405,945,Male
180,130,250,560,Female
335,245,405,985,Male
600,405,545,1550,Male
520,386,615,1521,Male
475,385,565,1425,Male
513.765,304.29,485.1,1303.155,Male
505,335,500,1340,Male
460,330,540,1330,Male
455,300,445,1200,Male
460,290,450,1200,Male
405,265,455,1125,Male
395,335,365,1095,Male
370,300,415,1085,Male
355,285,435,1075,Male
350,135,415,900,Male
250,135,260,645,Female
220.5,137.8125,286.65000000000003,644.9625,Female
215,140,275,630,Female
175,125,320,620,Female
200,157,225,582,Female
205,107.5,260,572.5,Female
175,145,205,525,Female
485,355,500,1340,Male
350,300,485,1135,Male
425,235,385,1045,Male
200,125,300,625,Female
485,315,405,1205,Male
620,430,585,1635,Male
425,300,405,1130,Male
255,245,275,775,Male
396.90000000000003,259.08750000000003,485.1,1141.0875,Male
255,200,245,700,Female
405,315,405,1125,Male
225,135,285,645,Female
250,250,261,761,Male
415,245,450,1110,Male
405,260,510,1175,Male
308.7,220.5,347.2875,876.4875000000001,Female
475,385,535,1395,Male
300,195,335,830,Female
441,319.725,540.225,1300.95,Male
445,300,570,1315,Male
435,265,512.5,1212.5,Male
545,345,615,1505,Male
530,360,560,1450,Male
270.1125,143.32500000000002,314.21250000000003,727.65,Female
253.57500000000002,159.8625,275.625,689.0625,Female
572,352,562,1486,Male
500,405,605,1510,Male
495,255,545,1295,Male
405,315,535,1255,Male
405,315,505,1225,Male
515,275,425,1215,Male
455,295,455,1205,Male
405,310,485,1200,Male
395,300,480,1175,Male
405,265,435,1105,Male
363.825,226.01250000000002,501.6375,1091.4750000000001,Male
280,260,360,900,Male
295,205,335,835,Male
185,125,245,555,Female
315,215,405,935,Male
248.0625,132.3,292.1625,672.525,Female
410,260,425,1095,Male
281,133.2,365,779.2,Female
485.1,308.7,617.4,1411.2,Male
240,264,220,724,Male
470,303,509,1282,Female
455,355,525,1335,Male
281.1375,203.9625,352.8,837.9,Female
145,90,185,420,Female
,335,,335,Male
755,472,675,1902,Male
635,370,730,1735,Male
625,315,560,1500,Male
507.15000000000003,374.85,617.4,1499.4,Male
530,360,555,1445,Male
487,320,565,1372,Male
500,550,315,1365,Male
210,135,300,645,Male
482,305,575,1362,Male
441,286.65000000000003,606.375,1334.025,Male
550,255,515,1320,Male
455,315,545,1315,Male
465,335,500,1300,Male
405,300,585,1290,Male
465,265,500,1230,Male
455,265,455,1175,Male
395,309,460,1164,Male
405,325,425,1155,Male
420,295,410,1125,Male
375,315,405,1095,Male
435,250,405,1090,Male
365,230,405,1000,Male
305,170,400,875,Female
290,200,365,855,Male
315,215,315,845,Male
275,205,315,795,Male
,325,445,770,Male
265,190,305,760,Non-Binary
,242,481,723,Male
295,153,235,683,Male
225,125,275,625,Female
198,115,300,613,Female
180,140,245,565,Female
45,415,45,505,Male
455,280,460,1195,Male
,,900,900,Male
297.675,303.1875,281.1375,882,Male
300,175,365,840,Female
231.5,126.8,242.5,600.8,Female
540.225,303.1875,573.3000000000001,1416.7125,Male
323,168,332,823,Female
135,135,135,405,Male
340,240,420,1000,Male
600,405,635,1640,Male
409,355,605,1369,Male
430,315,480,1225,Male
300,150,315,765,Male
495,375,635,1505,Male
250,145,350,745,Female
495,300,585,1380,Male
420,260,420,1100,Male
510,305,495,1310,Male
155,155,155,465,Male
45,45,45,135,Male
1,1,1,3,Female
575,380,605,1560,Male
565,375,585,1525,Male
565,350,525,1440,Male
500,345,540,1385,Male
460,345,545,1350,Male
495,395,455,1345,Male
501,225,535,1261,Male
385,315,505,1205,Male
405,280,500,1185,Male
415,275,475,1165,Male
415,275,470,1160,Male
400,306,445,1151,Male
405,305,425,1135,Male
405,275,455,1135,Male
374.85,302.08500000000004,441,1117.935,Male
435,205,475,1115,Male
435,255,425,1115,Male
400,260,450,1110,Male
405,300,405,1110,Male
375,315,420,1110,Male
405,205,485,1095,Male
390,255,445,1090,Male
355,265,425,1045,Male
385,225,410,1020,Male
335,285,385,1005,Male
352.8,253.57500000000002,396.90000000000003,1003.275,Male
335,280,385,1000,Male
350,230,420,1000,Male
385,225,385,995,Male
335,275,375,985,Male
335,245,385,965,Male
350,205,405,960,Male
350,235,365,950,Male
285,275,385,945,Male
325,250,365,940,Male
310,205,410,925,Male
303,214,402,919,Male
308.7,209.475,396.90000000000003,915.075,Male
302.4,243,364,909.4,Male
365,225,315,905,Male
300,275,325,900,Male
335,230,325,890,Male
315,225,340,880,Male
300,225,300,825,Male
260,205,355,820,Male
265,200,305,770,Male
225,215,295,735,Male
235,210,275,720,Male
225,185,300,710,Male
246,130,320,696,Female
225,155,255,635,Female
375,295,495,1165,Male
225,155,293,673,Female
225,365,505,1095,Male
390,315,390,1095,Male
415,295,475,1185,Male
374.85,264.6,441,1080.45,Male
505,370,605,1480,Male
395,305,445,1145,Male
396.90000000000003,226.01250000000002,479.58750000000003,1102.5,Male
405,225,485,1115,Male
340,245,425,1010,Male
475,295,555,1325,Male
160,125,185,470,Female
485,365,500,1350,Male
335,265,405,1005,Male
305,205,435,945,Male
275,205,345,825,Male
115,90,235,440,Female
115,95,175,385,Female
,325,,325,Male
0.5,,3,3.5,Female
,,6,6,Female
495,275,530,1300,Male
495,355,445,1295,Male
510,315,465,1290,Male
455,205,585,1245,Male
441,330.75,452.02500000000003,1223.775,Male
507.15000000000003,242.55,463.05,1212.75,Male
405,365,405,1175,Male
417,305,436,1158,Male
405,315,405,1125,Male
365,315,425,1105,Male
375,300,425,1100,Male
390,255,425,1070,Male
385.875,275.625,407.925,1069.425,Male
370,275,415,1060,Male
370,275,415,1060,Male
365,315,375,1055,Male
350,225,455,1030,Male
365,230,430,1025,Male
345,220,430,995,Male
345,265,375,985,Male
330,240,405,975,Male
355,225,385,965,Male
335,205,425,965,Male
386,211,366,963,Male
365,225,365,955,Male
315,225,405,945,Male
365,200,380,945,Male
225,295,405,925,Male
325,245,355,925,Male
350,260,315,925,Male
295,225,395,915,Male
295,245,365,905,Male
280,245,365,890,Male
305,225,315,845,Male
275,225,330,830,Male
255,175,315,745,Male
280,165,265,710,Male
275,240,185,700,Male
185,265,185,635,Male
165,190,275,630,Male
190,190,190,570,Male
205,115,210,530,Female
418.95,319.725,441,1179.675,Male
405,300,455,1160,Male
405,365,405,1175,Male
575,375,545,1495,Male
145,115,275,535,Female
371,205,405,981,Male
285,185,405,875,Male
125,95,175,395,Female
95,65,165,325,Female
,2,4,6,Male
,,6.615,6.615,Male
480,315,585,1380,Male
507.15000000000003,308.7,562.275,1378.125,Male
500,315,531,1346,Male
455,295,565,1315,Male
515,335,450,1300,Male
475,275,500,1250,Male
435,325,435,1195,Male
375,280,480,1135,Male
365,295,455,1115,Male
365,275,465,1105,Male
418.95,264.6,396.90000000000003,1080.45,Male
390,280,390,1060,Male
405,225,420,1050,Male
335,255,455,1045,Male
345,275,415,1035,Male
335,265,425,1025,Male
320,275,420,1015,Male
365,210,425,1000,Male
380,235,385,1000,Male
350,185,460,995,Male
352.8,198.45000000000002,441,992.25,Male
350,275,365,990,Male
335,235,385,955,Male
245,205,245,695,Male
297.675,272.3175,363.825,933.8175,Male
320,220,385,925,Male
325,215,385,925,Male
315,235,365,915,Male
315,255,345,915,Male
335,205,365,905,Male
315,205,365,885,Male
305,205,365,875,Male
275.47,235.19,345.42,856.08,Male
255,205,340,800,Male
255,205,300,760,Male
225,160,265,650,Female
455,365,465,1285,Male
396.90000000000003,220.5,551.25,1168.65,Male
555,325,485,1365,Male
185,185,185,555,Male
269,211,327,807,Male
460,295,550,1305,Male
223,153,283,659,Female
2.205,2.205,2.205,6.615,Male
465,300,505,1270,Male
446.5125,275.625,529.2,1251.3375,Male
385.875,308.7,463.05,1157.625,Male
455,245,455,1155,Male
355,315,455,1125,Male
340,275,404,1019,Male
301,235,375,911,Male
341.77500000000003,220.5,341.77500000000003,904.0500000000001,Male
245,110,290,645,Female
200,130,245,575,Female
365,275,365,1005,Male
365,290,385,1040,Male
145,125,185,455,Female
3.06,3.06,3.06,9.18,Male
10,,,10,Male
365,285,525,1175,Male
405,275,430,1110,Male
315,215,405,935,Male
280,275,370,925,Male
315,225,365,905,Male
275.625,209.475,308.7,793.8000000000001,Male
365,285,420,1070,Male
374.85,209.475,363.825,948.15,Male
154.35,99.22500000000001,224.91,478.485,Female
175,105,185,465,Female
155,95,180,430,Female
110,85,185,380,Female
145,65,165,375,Female
137.8125,82.6875,154.35,374.85,Female
110.25,66.15,189.63,366.03000000000003,Female
135,65,155,355,Female
,10,,10,Male
,,10,10,Female
2.5,3,5,10.5,Female
4,4,4,12,Female
5,5,5,15,Male
97,60,132,289,Female
7.5,2.5,7.5,17.5,Female
1,1,20,22,Female
5,5,15,25,Female
625,425,720,1770,Male
565,355,650,1570,Male
525,425,585,1535,Male
540,365,535,1440,Male
435,365,570,1370,Male
465,385,475,1325,Male
475,295,545,1315,Male
440,280,505,1225,Male
440,260,495,1195,Male
370,315,500,1185,Male
405,250,515,1170,Male
365,315,415,1095,Male
387.5,232.5,445,1065,Male
385,245,430,1060,Male
360,230,470,1060,Male
355,295,405,1055,Male
345,245,455,1045,Male
335,280,385,1000,Male
350,230,405,985,Male
352,231,396,979,Male
341.77500000000003,308.7,308.7,959.1750000000001,Male
325,225,405,955,Male
330,240,375,945,Male
315,225,405,945,Male
325,225,365,915,Male
295,245,370,910,Male
345,215,345,905,Male
350,285,265,900,Male
270,260,336,866,Male
305,220,315,840,Male
255,225,315,795,Male
245,190,335,770,Male
220,175,350,745,Male
115.21125,187.425,435.4875,738.12375,Male
253.57500000000002,187.425,253.57500000000002,694.575,Male
225,120,295,640,Female
200,125,255,580,Female
225,120,235,580,Female
200,100,205,505,Female
200,200,315,715,Male
145,50,130,325,Female
455,255,485,1195,Male
180,105,205,490,Female
220,125,285,630,Female
885,330,865,2080,Male
320,285,405,1010,Male
5,5,15,25,Male
130,80,145,355,Female
25,25,25,75,Male
2,2,22,26,Female
,1,25,26,Male
475,355,600,1430,Male
475,335,505,1315,Male
476,275,510,1261,Male
460,270,500,1230,Male
475,305,425,1205,Male
378,288,489,1155,Male
365,315,405,1085,Male
340,270,460,1070,Male
363.825,220.5,474.075,1058.4,Male
315,290,405,1010,Male
335,335,335,1005,Male
335,245,425,1005,Male
314,244,314,872,Male
290,245,315,850,Male
205,110,260,575,Female
405,380,525,1310,Male
425,285,435,1145,Male
435,295,385,1115,Male
185,105,195,485,Female
2.5,2.5,25,30,Male
505,375,605,1485,Male
385,315,495,1195,Male
455,245,455,1155,Male
425,285,425,1135,Male
405,345,365,1115,Male
315,230,405,950,Male
335,225,385,945,Male
265,265,405,935,Male
315,215,365,895,Male
286.65000000000003,198.45000000000002,330.75,815.85,Male
255,165,340,760,Male
205,115,235,555,Female
110,100,110,320,Female
350,250,400,1000,Male
249,215,249,713,Male
150,75,205,430,Female
110.25,83.79,163.17000000000002,357.21000000000004,Female
70,125,135,330,Male
90,70,135,295,Female
5,6,20,31,Male
535,355,465,1355,Male
485,300,515,1300,Male
405,315,525,1245,Male
315,405,495,1215,Male
415,335,465,1215,Male
435,285,480,1200,Male
418.95,264.6,507.15000000000003,1190.7,Male
425,235,475,1135,Male
425,250,455,1130,Male
394,259,434,1087,Male
450,185,405,1040,Male
345,265,425,1035,Male
330,300,385,1015,Male
340,250,405,995,Male
365,225,385,975,Male
275,195,425,895,Male
242.55,231.525,392.7105,866.7855000000001,Male
308.7,176.4,352.8,837.9,Male
290,265,275,830,Male
225,185,315,725,Male
231.525,181.9125,286.65000000000003,700.0875,Male
220.5,165.375,286.65000000000003,672.525,Male
275,135,225,635,Female
205,205,205,615,Male
224,124,254,602,Female
195,115,260,570,Female
5,5,5,15,Male
363.825,253.57500000000002,414.54,1031.94,Male
405,240,455,1100,Male
225,225,225,675,Male
135,65,135,335,Female
341.77500000000003,231.525,441,1014.3000000000001,Male
405,235,455,1095,Male
11.025,11.025,11.025,33.075,Male
7.5,7.5,20,35,Male
405,315,425,1145,Male
135,60,95,290,Female
365,335,495,1195,Male
230,185,290,705,Male
270,270,370,910,Male
500,400,551,1451,Male
345,235,445,1025,Male
320,255,365,940,Male
485.1,303.1875,407.925,1196.2125,Male
5,2,30,37,Male
95,75,135,305,Female
375,195,405,975,Female
114,80,170,364,Female
135,120,185,440,Female
75,55,150,280,Female
10,10,25,45,Male
10,15,25,50,Male
115,85,165,365,Male
15,5,35,55,Male
575,325,525,1425,Male
200.5,105.5,173,479,Female
130,107,170,407,Female
115,65,155,335,Female
105,75,145,325,Female
45,140,135,320,Male
113,58,123,294,Female
,,56.5,56.5,Female
15.435,6.615,35.28,57.33,Male
20,20,25,65,Male
22.05,22.05,22.05,66.15,Female
5,25,40,70,Male
605,415,605,1625,Male
480,375,555,1410,Male
565,315,520,1400,Male
515,405,465,1385,Male
490,340,550,1380,Male
475,350,545,1370,Male
425,330,605,1360,Male
515,315,505,1335,Male
475,355,500,1330,Male
455,350,500,1305,Male
460,335,500,1295,Male
430,335,475,1240,Male
460,235,535,1230,Male
405,300,515,1220,Male
440,300,475,1215,Male
440,315,455,1210,Male
410,275,515,1200,Male
425,295,450,1170,Male
420,250,475,1145,Male
350,315,465,1130,Male
405,305,405,1115,Male
347,308,451,1106,Male
425,255,425,1105,Male
375,255,465,1095,Male
345,295,445,1085,Male
370,260,455,1085,Male
365,305,415,1085,Male
405,255,425,1085,Male
374.85,264.6,441,1080.45,Male
385,265,405,1055,Male
365,280,405,1050,Male
390,275,385,1050,Male
365,265,415,1045,Male
365,275,405,1045,Male
345,320,366,1031,Male
365,255,405,1025,Male
365,275,385,1025,Male
315,305,385,1005,Male
395,225,385,1005,Male
315,295,390,1000,Male
385,245,365,995,Male
370,300,325,995,Male
325,285,365,975,Male
335,320,320,975,Male
325,235,415,975,Male
330,235,400,965,Male
335,225,405,965,Male
325,230,385,940,Male
325,275,315,915,Male
315,225,375,915,Male
